;2018;2019;2020
MG;9066;8720;8374
SC;8497;8428;7220
PR;7952;7708;7190
RJ;4575;4606;4236
SP;4516;4377;4043
RS;4445;4595;4176
BA;3555;3471;3456
GO;3464;3354;3228
PE;2715;2736;2560
ES;2642;2842;2534
MT;2631;2137;2195
CE;1697;1694;1571
RO;1629;1533;1486
PB;1588;1564;1401
MS;1530;1435;1540
RN;1416;1437;1337
PI;1371;1346;1203
MA;1272;1075;1154
PA;1260;817;963
DF;867;1090;1040
AL;691;629;628
TO;589;520;595
SE;559;612;575
RR;236;237;250
AC;235;254;300
AP;173;128;155
AM;124;101;138
